GPL_NAME,GPL_TYPE,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020
Conwy Principal Area,Transit stations,W06000003,Conwy,W06,Unitary Authority,1,7,2,-6,-6,-1,-7,4,1,-1,-1,5,2,-1,16,11,10,5,7,16,18,23,7,7,1,-6,9,7,9,0,-10,-17,-13,-11,-18,-6,-34,-49,-54,-57,-58,-69,-63
Conwy Principal Area,Workplace,W06000003,Conwy,W06,Unitary Authority,-1,-17,-16,-18,-19,-19,-2,-3,1,2,-1,1,0,1,4,1,1,0,2,0,3,3,0,1,-1,1,-4,-1,-1,-4,-9,-16,-19,-20,-23,-25,-40,-54,-62,-63,-64,-57,-58
Conwy Principal Area,Residential,W06000003,Conwy,W06,Unitary Authority,NA,2,2,3,4,3,NA,NA,0,0,1,0,1,NA,NA,0,-1,0,-1,0,NA,NA,1,1,1,1,2,NA,NA,2,4,7,7,8,NA,NA,12,19,21,22,NA,NA,NA
Cornwall,Retail & recreation,E06000052,Cornwall,E06,Unitary Authority,3,30,31,23,24,19,3,-2,1,4,3,7,1,4,7,11,12,1,7,5,5,7,3,6,5,5,2,2,4,13,1,-11,-12,-19,-46,-48,-36,-70,-75,-75,-77,-84,-85
Cornwall,Grocery & pharmacy,E06000052,Cornwall,E06,Unitary Authority,1,9,8,7,8,4,2,0,1,6,-1,3,2,3,2,5,5,4,7,4,1,4,4,3,2,8,4,6,10,18,24,17,17,3,-1,-15,-10,-30,-35,-37,-39,-46,-53
Cornwall,Parks,E06000052,Cornwall,E06,Unitary Authority,-4,62,71,46,56,47,7,-9,3,5,5,35,-11,-15,8,33,43,-7,24,10,16,15,17,21,25,32,15,13,28,93,46,15,39,21,-10,46,34,-5,-19,-10,-36,-54,-54
Cornwall,Transit stations,E06000052,Cornwall,E06,Unitary Authority,-5,12,11,4,7,9,5,3,0,2,1,8,-2,-4,1,8,9,-5,5,2,8,5,4,-1,1,3,-1,-4,-6,8,-6,-15,-14,-20,-31,-18,-29,-51,-56,-56,-61,-64,-66
Cornwall,Workplace,E06000052,Cornwall,E06,Unitary Authority,-3,-17,-16,-16,-17,-17,0,0,-2,2,2,2,-1,1,1,2,2,1,2,-1,3,1,0,1,1,1,-1,0,-2,-4,-9,-15,-19,-21,-22,-28,-39,-55,-62,-64,-65,-57,-56
Cornwall,Residential,E06000052,Cornwall,E06,Unitary Authority,2,2,2,2,3,2,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,2,1,1,5,7,8,9,10,7,13,20,22,23,24,18,14
County Durham,Retail & recreation,E06000047,County Durham,E06,Unitary Authority,-2,6,6,7,5,7,-4,-2,-19,3,3,4,4,6,4,6,5,6,7,8,4,5,4,3,1,1,4,-1,0,4,-6,-11,-9,-14,-39,-50,-37,-65,-67,-69,-70,-80,-83
County Durham,Grocery & pharmacy,E06000047,County Durham,E06,Unitary Authority,-2,-1,1,-1,-2,-1,-2,0,-5,11,1,2,-2,-4,-5,-2,1,4,2,3,0,1,4,5,1,7,8,7,11,19,22,24,25,16,14,-6,-4,-24,-24,-26,-24,-36,-42
County Durham,Parks,E06000047,County Durham,E06,Unitary Authority,-15,21,9,16,7,-1,-26,-10,-3,-1,3,9,-10,-15,-8,12,6,17,21,23,6,20,8,3,-1,-2,3,7,15,15,0,0,31,26,13,30,6,-21,-3,0,-20,-58,-56
County Durham,Transit stations,E06000047,County Durham,E06,Unitary Authority,1,2,3,2,0,-1,-3,3,6,6,2,5,5,5,-3,9,5,6,4,7,3,5,5,3,-2,1,-2,-4,-3,0,-9,-17,-17,-20,-25,-17,-33,-51,-54,-55,-57,-67,-68
County Durham,Workplace,E06000047,County Durham,E06,Unitary Authority,0,-16,-16,-16,-16,-17,-1,-1,-26,1,2,1,1,4,1,0,1,1,1,1,2,0,0,0,0,0,-2,0,-2,-6,-9,-16,-20,-22,-23,-27,-40,-53,-59,-62,-63,-56,-55
County Durham,Residential,E06000047,County Durham,E06,Unitary Authority,1,3,3,2,3,3,1,0,9,0,1,0,1,0,0,0,0,0,0,0,-1,-1,1,1,1,1,2,2,1,3,5,8,8,9,9,7,14,20,22,23,25,18,14
Cumbria,Retail & recreation,E10000006,Cumbria,E10,County,7,18,17,8,14,1,-1,1,-5,6,2,5,0,3,7,7,8,5,9,7,3,8,3,8,1,4,6,0,5,8,-2,-9,-6,-16,-40,-48,-36,-67,-71,-71,-75,-84,-84
Cumbria,Grocery & pharmacy,E10000006,Cumbria,E10,County,2,6,6,-1,2,-2,-1,0,-3,8,-1,3,2,1,2,4,5,6,7,6,4,4,2,7,1,5,7,4,10,15,19,16,19,8,8,-11,-9,-29,-33,-34,-35,-45,-50
Cumbria,Parks,E10000006,Cumbria,E10,County,16,46,46,24,32,0,-3,11,-12,11,7,17,-9,-5,14,12,18,17,37,32,8,39,9,12,2,9,37,26,40,33,20,17,46,38,31,57,0,-19,-22,-17,-39,-62,-54
Cumbria,Transit stations,E10000006,Cumbria,E10,County,9,14,8,2,7,3,2,10,-2,2,0,4,6,3,9,7,4,8,9,13,4,14,5,4,-5,2,9,-1,8,5,-8,-13,-9,-14,-22,-22,-33,-45,-53,-56,-64,-71,-73
Cumbria,Workplace,E10000006,Cumbria,E10,County,0,-16,-15,-16,-17,-18,-3,1,-6,0,0,0,-1,0,3,1,1,1,1,1,1,1,0,1,0,-1,-3,-3,-2,-3,-8,-13,-17,-18,-23,-26,-41,-58,-65,-67,-67,-61,-58
Cumbria,Residential,E10000006,Cumbria,E10,County,1,2,2,3,3,4,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,1,1,2,1,2,1,2,5,7,7,9,9,7,14,21,24,24,26,19,15
Darlington,Retail & recreation,E06000005,Darlington,E06,Unitary Authority,1,7,10,5,8,0,-5,-4,-14,5,3,7,3,14,5,7,5,7,8,4,5,1,3,6,0,0,-1,-3,-2,0,-8,-15,-12,-21,-41,-53,-37,-67,-73,-73,-75,-83,-86
Darlington,Grocery & pharmacy,E06000005,Darlington,E06,Unitary Authority,-4,-5,-5,-5,0,-4,-4,-6,-5,7,-2,1,1,5,2,1,2,1,2,2,1,5,2,4,3,6,7,7,10,20,26,22,21,11,6,-12,-10,-23,-28,-31,-32,-44,-47
Darlington,Parks,E06000005,Darlington,E06,Unitary Authority,NA,NA,NA,NA,NA,NA,-30,-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-62,-57
Darlington,Transit stations,E06000005,Darlington,E06,Unitary Authority,3,4,-1,7,2,-2,11,11,2,4,10,4,2,11,-9,6,3,5,-1,7,22,15,6,-1,-2,-7,1,6,-11,-12,-27,-33,-40,-38,-40,-52,-48,-61,-64,-65,-71,-71,-75
Darlington,Workplace,E06000005,Darlington,E06,Unitary Authority,0,-15,-14,-14,-15,-15,-4,-3,-10,1,0,0,-1,3,5,1,1,1,1,0,4,5,-1,0,0,-1,-2,-1,2,-5,-9,-15,-19,-21,-22,-26,-38,-50,-57,-60,-62,-57,-51
Darlington,Residential,E06000005,Darlington,E06,Unitary Authority,NA,2,3,3,3,4,NA,NA,4,0,1,0,1,NA,NA,0,1,0,0,0,NA,NA,1,1,1,1,2,NA,NA,2,5,8,8,9,NA,NA,14,21,23,24,26,NA,NA
Denbighshire,Retail & recreation,W06000004,Denbighshire,W06,Unitary Authority,1,17,20,16,10,9,0,2,1,6,-1,9,6,5,15,9,10,7,10,14,17,17,5,6,4,7,11,12,14,9,1,-10,-5,-11,-32,-41,-35,-64,-68,-68,-71,-79,-84
Denbighshire,Grocery & pharmacy,W06000004,Denbighshire,W06,Unitary Authority,-4,3,-3,-1,-4,0,-2,-3,2,4,-3,0,5,3,7,7,0,6,4,10,9,12,10,8,2,12,15,20,24,29,22,26,24,16,25,-1,1,-24,-26,-28,-25,-35,-43
Denbighshire,Parks,W06000004,Denbighshire,W06,Unitary Authority,-24,40,30,22,0,1,-21,-17,-11,0,-10,-6,14,-11,19,16,17,4,13,37,16,25,2,15,-1,6,34,26,28,29,13,-9,6,26,5,32,5,-17,-15,-19,-28,-62,-59
Denbighshire,Transit stations,W06000004,Denbighshire,W06,Unitary Authority,-11,-1,0,-2,-6,-7,-3,0,-9,2,-5,0,1,-8,16,-2,7,0,7,10,5,12,-6,4,-1,0,1,-5,4,-3,-13,-21,-15,-16,-23,0,-37,-45,-53,-55,-56,-67,-70
Denbighshire,Workplace,W06000004,Denbighshire,W06,Unitary Authority,-2,-17,-17,-16,-19,-18,-3,1,-2,1,0,0,-1,0,5,0,1,1,2,1,1,4,0,1,1,1,-5,-2,0,-5,-8,-16,-21,-24,-22,-26,-39,-52,-59,-61,-61,-52,-52
Denbighshire,Residential,W06000004,Denbighshire,W06,Unitary Authority,NA,3,3,3,4,3,NA,NA,1,0,1,1,1,NA,NA,0,0,0,0,0,NA,NA,1,1,1,1,2,NA,NA,2,4,8,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derby,Retail & recreation,E06000015,Derby,E06,Unitary Authority,-6,9,5,5,8,20,-5,-1,0,1,1,5,2,3,6,4,2,4,36,6,0,25,0,0,0,3,1,-8,-8,1,-8,-15,-11,-22,-46,-53,-38,-69,-72,-73,-75,-83,-85
Derby,Grocery & pharmacy,E06000015,Derby,E06,Unitary Authority,-7,-2,-3,-4,-3,-1,-1,0,-1,8,0,2,2,3,5,4,4,5,2,6,2,4,0,6,4,14,14,12,10,23,29,27,31,14,3,-12,-6,-19,-20,-26,-26,-38,-46
Derby,Parks,E06000015,Derby,E06,Unitary Authority,-52,13,-12,-25,-16,-7,-23,-25,-15,2,-12,0,-27,-22,-18,9,0,NA,0,28,7,32,-4,-14,-5,-5,12,-3,-39,11,5,-32,-4,13,-13,-4,15,-4,0,9,-8,-46,-55
Derby,Transit stations,E06000015,Derby,E06,Unitary Authority,-18,-4,-10,-6,-4,11,2,-1,-1,-2,-2,4,4,6,13,5,1,1,12,7,1,19,0,-1,-4,-9,-6,-13,-16,-13,-29,-39,-42,-44,-53,-53,-57,-69,-74,-76,-74,-80,-81
Derby,Workplace,E06000015,Derby,E06,Unitary Authority,-4,-13,-12,-13,-14,-14,-2,-1,-2,1,1,2,-1,1,2,3,4,3,2,4,3,1,2,3,2,1,-1,0,-3,-3,-9,-19,-24,-27,-24,-27,-44,-55,-62,-64,-65,-57,-55
Derby,Residential,E06000015,Derby,E06,Unitary Authority,1,2,3,3,3,3,1,0,2,0,0,0,1,0,-1,0,0,0,0,0,0,-1,1,1,1,1,2,2,2,2,5,9,10,12,10,8,16,22,24,25,27,19,NA
Derbyshire,Retail & recreation,E10000007,Derbyshire,E10,County,-6,8,7,3,2,4,-5,2,-5,2,-1,2,-2,0,13,4,3,4,2,10,2,11,-2,0,0,1,4,-4,-2,-1,-10,-19,-18,-18,-46,-54,-42,-70,-72,-74,-76,-84,-86
Derbyshire,Grocery & pharmacy,E10000007,Derbyshire,E10,County,-5,0,-1,-3,-3,-1,-1,-2,-1,8,-1,2,0,2,3,3,4,4,4,5,3,4,3,5,4,10,10,8,10,23,30,27,29,15,13,-5,-2,-19,-21,-24,-26,-37,-43
Derbyshire,Parks,E10000007,Derbyshire,E10,County,-29,38,43,5,0,4,-12,-2,-7,21,-1,9,-19,-18,26,24,19,11,13,29,18,28,13,16,11,10,16,13,-2,45,34,-12,22,30,31,56,23,11,0,5,-21,-58,-55
Derbyshire,Transit stations,E10000007,Derbyshire,E10,County,-9,1,-2,-3,-5,-2,-2,1,-5,0,-1,0,-3,-3,5,0,-3,3,-2,4,2,7,-3,-2,-2,-3,-2,-6,-9,-6,-13,-20,-20,-21,-22,-17,-32,-48,-50,-53,-57,-65,-66
Derbyshire,Workplace,E10000007,Derbyshire,E10,County,-3,-15,-16,-16,-16,-17,-2,0,-3,0,-1,0,-2,1,1,0,1,1,1,1,2,3,0,1,1,0,-2,-2,-3,-4,-9,-17,-21,-23,-22,-26,-38,-52,-59,-61,-62,-57,-55
Derbyshire,Residential,E10000007,Derbyshire,E10,County,1,2,2,3,3,3,0,0,2,0,1,0,1,1,-1,0,0,0,0,0,0,-1,1,1,1,1,1,1,1,2,5,9,10,10,10,7,15,21,24,25,27,19,15
Derry And Strabane,Retail & recreation,N09000005,Derry City and Strabane,N09,Local Government District,-7,7,8,4,6,-1,-3,-4,-3,-3,-5,1,2,0,5,6,5,7,5,2,0,2,1,2,1,4,-4,-13,-17,-1,-32,-29,-26,-33,-42,-52,-38,-59,-65,-67,-68,-74,-80
Derry And Strabane,Grocery & pharmacy,N09000005,Derry City and Strabane,N09,Local Government District,-7,-1,-1,-5,-1,-2,-1,-1,1,3,-1,1,3,-1,3,4,3,5,4,3,2,5,5,9,5,27,14,5,13,29,-5,0,0,2,4,-10,-4,-14,-20,-23,-19,-25,-39
Derry And Strabane,Parks,N09000005,Derry City and Strabane,N09,Local Government District,-28,2,8,-9,-9,-6,-13,-2,-6,-8,-2,-4,-5,-22,-3,-7,13,22,11,11,16,-6,-11,2,0,-21,-18,-26,-32,-35,-49,-33,-23,-26,-46,-37,-52,-60,-65,-53,-53,-64,-63
Derry And Strabane,Transit stations,N09000005,Derry City and Strabane,N09,Local Government District,-10,-14,-17,-17,-12,-10,-12,4,-6,-10,-5,-4,-4,-11,3,-2,0,3,0,0,-6,-7,-7,-11,-15,-12,-8,-32,-24,-25,-52,-39,-34,-38,-40,-44,-48,-57,-64,-57,-59,-57,-60
Derry And Strabane,Workplace,N09000005,Derry City and Strabane,N09,Local Government District,-4,-15,-14,-10,-10,-8,-1,1,-1,2,2,0,2,0,1,0,1,2,2,5,0,-1,1,2,3,1,1,-4,-8,-25,-63,-28,-27,-28,-30,-32,-39,-52,-57,-60,-60,-57,-54
Derry And Strabane,Residential,N09000005,Derry City and Strabane,N09,Local Government District,NA,2,2,3,2,2,1,NA,1,1,1,1,-1,1,NA,0,-1,-1,0,-1,0,NA,1,0,1,1,1,3,NA,8,19,11,12,13,NA,NA,15,21,24,25,25,NA,NA
Devon,Retail & recreation,E10000008,Devon,E10,County,-10,18,18,14,15,13,-1,-4,-2,-2,-2,6,-1,2,5,7,8,-3,3,3,3,1,3,3,0,1,-2,-4,-11,4,-11,-21,-20,-27,-51,-56,-44,-71,-75,-75,-79,-86,-87
Devon,Grocery & pharmacy,E10000008,Devon,E10,County,-6,7,6,5,5,5,3,0,2,7,3,5,4,4,2,7,5,5,7,7,6,2,6,7,4,10,8,8,9,21,26,19,19,7,2,-14,-9,-28,-30,-33,-34,-43,-51
Devon,Parks,E10000008,Devon,E10,County,-24,44,47,25,31,46,3,-2,-2,6,3,20,-12,-17,3,25,30,-12,1,20,10,8,16,16,16,20,33,17,1,71,29,7,14,23,1,42,24,-2,-19,-11,-27,-54,-54
Devon,Transit stations,E10000008,Devon,E10,County,-11,9,8,3,2,8,0,9,2,3,2,4,2,-6,3,6,6,-3,-2,4,1,3,1,-1,-3,-4,-2,-9,-12,-1,-15,-25,-25,-27,-38,-30,-36,-54,-60,-63,-66,-71,-73
Devon,Workplace,E10000008,Devon,E10,County,-2,-16,-15,-16,-17,-17,-2,-1,-1,0,0,0,-1,-1,2,0,1,-1,-1,0,0,1,-1,0,-1,-1,-3,-2,-4,-6,-12,-19,-23,-24,-26,-30,-40,-54,-61,-63,-64,-57,-54
Devon,Residential,E10000008,Devon,E10,County,2,2,2,2,3,2,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,2,2,2,2,6,9,10,11,10,7,14,21,24,24,25,19,15
Dorset,Retail & recreation,J19000003,Dorset Ceremonial County,J19,Ceremonial County,-15,14,10,12,9,10,0,-6,-4,-4,-1,5,-2,10,5,6,7,-2,-5,7,5,2,0,-3,-1,1,-2,-2,-12,2,-13,-17,-19,-27,-45,-55,-43,-72,-74,-75,-77,-85,-87
Dorset,Grocery & pharmacy,J19000003,Dorset Ceremonial County,J19,Ceremonial County,-7,7,4,3,3,3,1,0,1,6,1,3,2,3,5,6,4,3,3,8,6,4,9,7,6,13,9,8,9,22,25,23,24,10,5,-10,-5,-25,-28,-29,-31,-41,-47
Dorset,Parks,J19000003,Dorset Ceremonial County,J19,Ceremonial County,-41,58,40,14,25,47,11,-6,-2,7,16,29,-18,-6,26,49,35,-16,-6,47,24,12,32,16,21,30,42,30,-11,111,30,17,18,22,30,32,32,-8,-10,3,-20,-55,-57
Dorset,Transit stations,J19000003,Dorset Ceremonial County,J19,Ceremonial County,-22,2,-3,-4,-6,1,-2,-5,-5,-5,-3,0,-8,-3,4,4,-2,-8,-6,4,1,-5,-1,-4,-2,-3,-6,-5,-17,2,-17,-22,-25,-28,-28,-26,-38,-55,-58,-58,-60,-68,-70
Dorset,Workplace,J19000003,Dorset Ceremonial County,J19,Ceremonial County,-3,-14,-13,-14,-14,-15,-2,-2,-1,2,1,2,-1,0,1,1,1,-1,-1,0,1,-1,0,0,-1,0,-3,-2,-5,-5,-11,-19,-22,-25,-26,-31,-41,-56,-62,-64,-65,-59,-57
Dorset,Residential,J19000003,Dorset Ceremonial County,J19,Ceremonial County,2,2,2,2,3,2,0,0,1,1,0,0,1,0,-1,0,0,2,2,0,0,0,0,1,1,1,2,2,2,2,6,9,10,11,10,8,15,22,24,25,26,19,15
Dumfries and Galloway,Retail & recreation,S12000006,Dumfries and Galloway,S12,Council Area,5,13,13,3,6,-7,0,2,-5,6,1,2,-4,5,4,7,8,5,6,3,3,10,4,6,0,2,2,3,6,8,-3,-8,-6,-18,-35,-43,-38,-62,-67,-70,-73,-81,-80
Dumfries and Galloway,Grocery & pharmacy,S12000006,Dumfries and Galloway,S12,Council Area,2,5,3,-2,2,-5,0,3,2,9,1,4,2,5,4,3,7,7,9,8,9,5,8,10,4,10,12,12,19,24,23,24,26,16,18,-4,-4,-23,-27,-30,-27,-36,-42
Dumfries and Galloway,Parks,S12000006,Dumfries and Galloway,S12,Council Area,19,34,18,7,22,-3,4,13,-2,5,9,12,-3,-3,13,21,9,15,26,26,2,33,18,11,1,8,25,6,26,29,0,NA,24,27,19,38,-1,-29,-24,-28,-43,-52,-48
Dumfries and Galloway,Transit stations,S12000006,Dumfries and Galloway,S12,Council Area,13,18,10,8,17,4,10,24,4,2,1,7,7,-1,12,9,3,3,9,13,6,15,13,4,-1,7,9,-3,6,7,-4,-9,-6,-15,-21,-26,-27,-36,-48,-56,-68,-71,-75
Dumfries and Galloway,Workplace,S12000006,Dumfries and Galloway,S12,Council Area,-1,-16,-15,-16,-14,-15,-3,-2,1,2,0,1,-1,1,-1,2,1,1,1,0,-3,1,0,1,-1,-1,-1,-3,-3,-1,-6,-10,-12,-15,-23,-22,-32,-49,-56,-57,-58,-52,-49
Dumfries and Galloway,Residential,S12000006,Dumfries and Galloway,S12,Council Area,NA,1,2,3,2,4,2,NA,1,1,1,0,1,1,NA,0,0,1,0,0,1,NA,1,0,2,2,1,2,NA,1,3,5,6,7,NA,NA,10,17,20,20,22,NA,NA
Dundee City Council,Retail & recreation,S12000042,Dundee City,S12,Council Area,-5,8,3,1,2,5,-2,0,-11,1,1,4,6,9,1,4,8,4,6,8,7,2,0,4,2,5,5,-7,-3,-3,-8,-17,-19,-26,-49,-53,-48,-72,-75,-76,-77,-83,-83
Dundee City Council,Grocery & pharmacy,S12000042,Dundee City,S12,Council Area,-3,3,0,-1,0,1,-2,0,-4,3,-1,2,2,3,-1,4,3,4,1,2,-2,-2,0,1,0,-5,-1,-5,-4,3,5,4,7,-5,-11,-26,-22,-32,-35,-37,-36,-44,-52
Dundee City Council,Parks,S12000042,Dundee City,S12,Council Area,-26,-4,-7,2,4,-14,-20,9,-29,NA,13,8,-14,2,-21,4,NA,15,10,7,-12,14,-4,9,8,-8,11,-10,22,-10,4,-6,13,18,8,33,-18,-7,-15,-31,-30,-18,-10
Dundee City Council,Transit stations,S12000042,Dundee City,S12,Council Area,-10,3,-1,5,-2,2,-5,0,-3,1,4,3,6,8,0,5,4,5,7,11,15,11,9,3,6,0,2,0,-9,-5,-19,-24,-29,-33,-37,-43,-45,-61,-66,-67,-67,-69,-71
Dundee City Council,Workplace,S12000042,Dundee City,S12,Council Area,0,-11,-5,2,1,2,0,3,-2,0,1,0,1,3,3,2,0,1,1,3,1,2,1,1,0,-2,-1,-4,-2,-9,-17,-23,-28,-30,-31,-30,-45,-61,-68,-69,-68,-60,-56
Dundee City Council,Residential,S12000042,Dundee City,S12,Council Area,0,2,2,0,0,0,1,-1,2,0,0,0,0,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,1,1,2,1,4,6,9,10,10,10,NA,16,22,24,25,26,NA,NA
East Ayrshire Council,Retail & recreation,S12000008,East Ayrshire,S12,Council Area,2,4,4,-2,0,-7,-10,0,-1,-2,-2,2,4,5,-1,8,7,9,7,4,1,2,3,6,1,1,4,-5,-1,0,-12,-15,-12,-17,-37,-41,-35,-71,-77,-75,-74,-81,-83
East Ayrshire Council,Grocery & pharmacy,S12000008,East Ayrshire,S12,Council Area,-3,2,2,-5,-3,-1,-2,-4,0,-2,-1,-1,0,0,-5,3,4,1,0,2,-1,-2,0,2,-1,7,9,8,11,17,17,18,24,12,12,-9,-6,-22,-23,-24,-28,-31,-39
East Ayrshire Council,Parks,S12000008,East Ayrshire,S12,Council Area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Ayrshire Council,Transit stations,S12000008,East Ayrshire,S12,Council Area,-3,0,5,2,1,-3,-11,10,1,2,0,-4,3,1,-8,3,1,5,4,4,1,-2,3,3,-1,-4,3,-9,-5,-9,-16,-26,-22,-21,-37,-25,-39,-58,-64,-63,-65,-68,-55
East Ayrshire Council,Workplace,S12000008,East Ayrshire,S12,Council Area,-4,0,1,0,2,-2,-2,0,0,1,1,1,0,-1,-1,1,2,2,1,0,-2,0,1,1,2,0,-1,-3,-4,-5,-9,-15,-18,-20,-22,-23,-36,-53,-61,-63,-64,-55,-51
East Ayrshire Council,Residential,S12000008,East Ayrshire,S12,Council Area,NA,1,1,1,0,2,NA,NA,1,1,0,0,1,NA,NA,0,0,-1,0,0,NA,NA,0,1,1,1,1,NA,NA,3,5,7,8,8,NA,NA,13,20,24,24,26,NA,NA
East Dunbartonshire Council,Retail & recreation,S12000045,East Dunbartonshire,S12,Council Area,-5,3,1,-2,0,-8,-9,1,-2,3,4,5,-3,6,2,10,7,9,4,2,0,2,0,2,0,-2,1,-4,2,0,-6,-9,-4,-14,-30,-32,-34,-69,-74,-72,-72,-75,-75
East Dunbartonshire Council,Grocery & pharmacy,S12000045,East Dunbartonshire,S12,Council Area,-1,4,3,4,4,3,4,2,4,8,4,5,4,4,-2,9,8,9,11,7,4,3,8,9,11,14,16,14,11,24,22,25,32,16,13,-9,-5,-19,-21,-25,-21,-28,-35
East Dunbartonshire Council,Parks,S12000045,East Dunbartonshire,S12,Council Area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Dunbartonshire Council,Transit stations,S12000045,East Dunbartonshire,S12,Council Area,-6,-2,-3,-3,-1,-7,-19,0,-7,-4,-3,0,-6,-3,-6,4,1,1,-2,-2,-4,10,-2,-10,-11,-5,-12,-22,-8,-24,-34,-44,-40,-44,-46,-24,-57,-70,-77,-75,-75,-71,-54
East Dunbartonshire Council,Workplace,S12000045,East Dunbartonshire,S12,Council Area,2,2,5,4,2,0,-2,3,2,1,3,2,0,3,1,3,3,3,3,2,2,4,-1,0,0,-2,-3,-6,-8,-8,-16,-24,-29,-29,-25,-32,-52,-65,-72,-73,-73,-61,-56
East Dunbartonshire Council,Residential,S12000045,East Dunbartonshire,S12,Council Area,NA,1,0,0,0,2,NA,NA,1,1,0,-1,0,NA,NA,0,-1,0,0,0,NA,NA,1,1,2,1,2,NA,NA,5,8,12,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Lothian Council,Retail & recreation,S12000010,East Lothian,S12,Council Area,3,2,1,5,1,-2,-9,13,-9,3,2,5,8,9,-2,4,3,5,5,7,10,17,3,-4,0,-3,-2,1,8,0,-14,-19,-13,-18,-39,-38,-50,-72,-75,-78,-78,-83,-81
East Lothian Council,Grocery & pharmacy,S12000010,East Lothian,S12,Council Area,-3,0,2,1,0,1,-1,3,-2,7,0,4,2,5,-3,5,3,2,7,5,8,2,6,4,3,9,14,18,15,23,23,29,31,20,22,2,2,-19,-23,-26,-27,-30,-37
East Lothian Council,Parks,S12000010,East Lothian,S12,Council Area,NA,NA,NA,NA,NA,-4,-33,1,NA,NA,NA,NA,0,17,-23,NA,NA,NA,NA,NA,38,21,NA,NA,NA,NA,NA,50,37,NA,NA,NA,NA,NA,58,99,NA,NA,NA,-22,-43,-48,-34
East Lothian Council,Transit stations,S12000010,East Lothian,S12,Council Area,-6,-3,-1,6,-1,-4,-12,1,-8,1,-1,0,4,2,-4,7,6,5,4,4,6,15,-4,0,1,-6,-5,0,-3,-10,-19,-21,-24,-21,-22,0,-38,-55,-55,-61,-62,-62,-57
East Lothian Council,Workplace,S12000010,East Lothian,S12,Council Area,-1,-12,1,2,0,-1,-4,-1,-1,2,1,2,1,3,0,0,1,0,2,1,4,3,0,1,0,-1,-5,1,-3,-9,-14,-22,-26,-26,-21,-29,-47,-62,-68,-70,-68,-55,-56
East Lothian Council,Residential,S12000010,East Lothian,S12,Council Area,NA,2,1,1,1,1,NA,NA,1,1,0,0,0,NA,NA,0,-1,0,0,-1,NA,NA,1,1,1,2,2,NA,NA,4,8,10,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Renfrewshire Council,Retail & recreation,S12000011,East Renfrewshire,S12,Council Area,2,4,2,-5,0,-4,5,16,8,11,4,7,0,12,8,14,10,14,13,5,2,16,9,5,4,3,5,4,17,5,0,-4,0,-7,-26,-23,-26,-61,-65,-63,-68,-71,-63
East Renfrewshire Council,Grocery & pharmacy,S12000011,East Renfrewshire,S12,Council Area,-1,2,-1,-2,2,-6,1,4,2,7,0,3,4,2,3,10,7,8,12,9,2,4,9,6,7,18,21,19,21,28,29,34,46,24,17,-5,3,-15,-16,-13,-17,-20,-29
East Renfrewshire Council,Parks,S12000011,East Renfrewshire,S12,Council Area,NA,NA,NA,NA,NA,NA,-62,-59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71,-56,-56,NA,NA
East Renfrewshire Council,Transit stations,S12000011,East Renfrewshire,S12,Council Area,NA,0,0,3,-4,-8,-7,NA,-4,0,-1,0,-5,2,NA,3,-5,5,1,-3,-5,NA,-4,-11,-5,-12,-12,-20,NA,-18,-37,-32,-32,-35,-35,NA,-51,-71,-70,-67,-69,-56,-51
