Country,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
IN,Grocery & pharmacy,2,1,2,2,3,-0,-2,-1,0,-2,-0,-1,1,-1,4,2,2,5,3,2,6,9,6,-23,-1,1,1,-3,-1,2,0,1,1,1,-4,-76,-27,-48,-64,-64,-64,-65,-65,-63,-63,-64,-65,-62,-64,-65
IN,Parks,3,3,4,1,5,6,4,1,2,3,1,3,3,-1,1,3,3,1,3,-0,2,2,4,-4,-2,2,-0,-6,-6,-1,-2,-6,-7,-13,-23,-58,-35,-44,-53,-51,-52,-54,-57,-51,-50,-52,-51,-51,-53,-56
IN,Residential,0,0,0,1,-1,5,1,1,0,0,-1,-0,0,0,1,0,0,0,0,1,0,0,3,11,1,0,1,4,3,3,3,4,5,7,8,21,20,25,30,30,31,29,22,30,29,29,30,30,28,21
IN,Retail & recreation,2,-1,0,-0,1,-4,-2,-2,-1,-1,0,-1,0,-2,1,-0,-1,0,-1,-1,0,2,-1,-19,-5,-3,-5,-11,-11,-8,-11,-12,-16,-22,-34,-78,-54,-68,-77,-76,-77,-78,-77,-76,-75,-76,-76,-76,-77,-77
IN,Transit stations,2,1,2,1,5,-4,-2,-0,1,1,3,1,1,0,0,-0,0,3,2,3,5,3,-6,-22,-1,-0,-2,-8,-7,-6,-9,-10,-14,-18,-25,-70,-52,-64,-73,-73,-73,-73,-71,-74,-73,-73,-74,-73,-73,-71
IN,Workplaces,0,4,3,4,4,-19,-2,2,4,1,3,4,5,8,3,5,4,7,5,5,7,6,-12,-44,-5,-0,0,-6,2,-4,-8,-8,-11,-15,-18,-49,-50,-65,-72,-70,-70,-66,-47,-68,-68,-68,-69,-67,-61,-43
IT,Grocery & pharmacy,2,1,1,-1,1,1,3,16,23,5,-5,-3,-2,-2,-5,-7,-1,1,0,0,1,3,-1,-2,-14,-23,-28,-43,-60,-37,-41,-43,-44,-40,-52,-85,-45,-48,-51,-52,-46,-54,-85,-47,-42,-41,-40,-38,-48,-82
IT,Parks,26,7,16,11,18,19,30,23,22,20,-6,-1,11,2,-30,-26,-9,8,-12,-8,2,1,-24,-32,-32,-61,-64,-78,-81,-67,-68,-71,-74,-77,-85,-91,-81,-80,-82,-84,-82,-86,-90,-79,-78,-77,-77,-78,-84,-90
IT,Residential,-2,-0,-0,-0,-0,-1,-1,-0,4,5,6,6,5,3,4,5,4,4,7,8,6,6,11,16,19,24,28,25,22,27,29,30,31,32,26,24,32,32,34,35,36,27,24,32,33,33,34,35,27,24
IT,Retail & recreation,3,-0,3,0,2,1,-1,-5,-4,-6,-13,-10,-8,-10,-19,-13,-7,-7,-12,-15,-19,-32,-30,-43,-52,-70,-75,-83,-90,-75,-77,-79,-79,-80,-86,-95,-80,-81,-83,-84,-83,-87,-94,-81,-90,-90,-90,-85,-89,-95
IT,Transit stations,11,3,4,3,5,5,8,6,-15,-18,-23,-22,-20,-16,-26,-25,-21,-19,-28,-29,-24,-27,-42,-51,-57,-67,-71,-76,-80,-74,-76,-77,-78,-78,-80,-87,-81,-81,-82,-83,-82,-82,-87,-81,-79,-79,-79,-79,-80,-86
IT,Workplaces,1,1,1,1,1,0,-0,1,-14,-15,-12,-12,-12,-9,-5,-9,-8,-8,-16,-17,-15,-10,-24,-31,-37,-47,-53,-58,-55,-58,-61,-61,-63,-63,-63,-63,-68,-69,-70,-72,-71,-65,-63,-69,-70,-70,-70,-69,-63,-62
JP,Grocery & pharmacy,-6,1,2,2,4,2,1,3,4,7,3,6,14,9,9,3,9,-2,3,2,2,-4,2,-3,4,5,3,-4,5,-0,4,3,6,6,5,1,0,3,8,13,3,1,-7,4,7,-5,6,6,6,2
JP,Parks,-35,-5,1,8,4,7,-10,16,54,-0,-5,-4,-4,-22,-1,-15,11,-21,-8,5,-8,-35,11,-28,13,16,10,-39,9,-7,14,20,17,40,34,18,11,14,31,26,-9,-23,-25,-2,9,-29,13,26,26,3
JP,Residential,2,1,1,0,0,1,2,-0,14,1,1,1,2,4,4,4,4,5,4,5,5,6,4,6,3,3,5,7,3,4,4,3,2,17,3,3,3,4,2,3,6,7,7,5,5,7,6,7,8,8
JP,Retail & recreation,-9,-2,1,-0,1,-1,-5,1,18,0,-4,-3,-2,-10,-10,-10,-2,-12,-9,-9,-12,-17,-7,-9,-3,-3,-5,-14,-7,-7,-1,-3,4,7,-6,-9,-4,0,2,0,-10,-18,-26,-7,-4,-20,-12,-14,-21,-25
JP,Transit stations,-10,-1,-2,-3,-3,-2,-3,2,-27,-2,-5,-7,-10,-21,-23,-15,-15,-19,-18,-18,-24,-31,-15,-18,-16,-15,-17,-27,-21,-15,-15,-14,-10,-34,-15,-18,-13,-13,-11,-13,-19,-33,-41,-20,-20,-25,-23,-25,-35,-43
JP,Workplaces,-2,0,-0,0,0,0,-1,-0,-55,1,1,0,1,3,1,-2,-2,-4,-4,-4,-4,-5,-3,-5,-4,-4,-4,-7,-3,-3,-4,-4,-4,-54,-7,-3,-3,-4,-4,-5,-7,-8,-9,-8,-7,-10,-10,-11,-12,-13
KR,Grocery & pharmacy,-0,-6,-3,-1,-3,-4,-6,-18,6,-13,-7,-10,-17,-10,-8,-1,-7,-10,-11,-8,-7,-14,1,-11,-3,-5,-5,1,1,1,-5,-1,-13,-2,4,-8,6,0,1,-8,-4,2,11,4,2,0,-2,1,5,14
