Country,Country code,Category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
USA,US,Workplace,0,-24,-0,1,0,0,4,2,3,2,2,2,2,4,3,3,2,3,3,2,5,2,-0,-2,-1,-3,-7,-1,-7,-20,-27,-31,-33,-36,-24,-31,-41,-45,-46,-47,-46,-34,-38
USA,US,Residential,-1,5,1,0,1,0,-1,-1,0,-0,-1,-0,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,3,3,8,11,13,15,16,12,11,17,19,19,20,21,15,12
Sweden,SE,Retail & recreation,-10,-4,0,3,1,5,0,2,2,8,5,7,7,8,-1,1,0,-2,0,2,5,1,-2,-4,-4,-12,-13,-17,-25,-19,-24,-26,-22,-24,-26,-26,-25,-25,-19,-18,-19,-24,-24
Sweden,SE,Grocery & pharmacy,-7,-3,0,1,1,0,-1,0,0,9,2,4,2,4,-2,2,2,-1,3,1,4,-2,0,1,4,11,8,9,-2,3,0,-3,-2,-5,-5,-9,-8,-7,1,-2,-5,-4,-10
Sweden,SE,Parks,-30,-3,13,26,-1,22,-10,23,24,8,4,10,16,8,-7,10,5,-2,8,24,36,-0,8,3,10,-17,-4,59,-15,11,2,1,40,11,66,57,8,22,25,48,43,52,43
Sweden,SE,Transit stations,-11,-6,-4,-3,-6,-2,-2,0,-3,-3,-5,-2,-1,5,-6,-3,-4,-5,-4,-1,6,-6,-5,-6,-7,-16,-19,-13,-30,-25,-32,-37,-35,-37,-28,-33,-38,-37,-36,-35,-35,-29,-36
Sweden,SE,Workplace,-5,-6,-5,-5,-6,-7,-3,-1,-4,-4,-4,-5,-6,0,-2,-2,-2,-2,-2,-2,0,-1,-0,0,-1,-4,-10,-6,-10,-17,-21,-27,-28,-28,-13,-15,-27,-28,-28,-28,-29,-15,-18
Sweden,SE,Residential,2,2,1,1,1,1,1,-0,1,1,1,1,1,-0,1,1,1,1,1,1,0,1,1,1,2,4,6,3,5,8,10,11,11,12,6,5,11,11,11,11,11,6,5
France,FR,Retail & recreation,6,1,5,-4,-2,-1,-6,8,3,1,-5,-5,-1,-7,1,-6,-1,-6,-8,-2,-4,0,-5,-5,-6,-8,-8,-21,-38,-43,-68,-83,-82,-83,-88,-86,-81,-83,-84,-84,-84,-87,-88
France,FR,Grocery & pharmacy,2,2,2,-3,-1,-2,-2,7,3,1,-2,-1,1,1,4,3,5,2,-0,2,1,2,2,1,2,5,17,1,23,46,-15,-45,-41,-42,-54,-64,-41,-45,-48,-46,-46,-56,-72
France,FR,Parks,9,16,36,18,29,28,31,30,45,23,9,1,15,-12,-13,-9,8,1,-15,-1,7,-1,2,1,17,5,4,-1,15,-15,-40,-53,-56,-66,-78,-80,-64,-65,-67,-67,-68,-76,-82
France,FR,Transit stations,7,-6,-4,-6,-4,0,14,12,-1,-3,-5,-5,-0,4,2,-4,-4,-6,-6,-1,1,-2,-5,-6,-5,-7,-8,-16,-21,-39,-61,-76,-78,-80,-82,-84,-82,-82,-83,-83,-84,-83,-87
France,FR,Workplace,-1,-15,-14,-12,-15,-15,-5,-1,-15,-14,-12,-15,-15,-5,1,-5,-4,-3,-5,-4,-0,-1,-1,-1,-0,-1,-2,-5,-9,-36,-55,-67,-71,-71,-58,-55,-73,-74,-73,-74,-73,-59,-56
France,FR,Residential,-1,4,3,2,3,3,-1,-1,3,4,3,4,4,1,-0,3,2,2,3,3,1,1,2,2,1,1,3,5,3,13,24,29,32,36,24,18,32,34,32,34,37,25,18
Argentina,AR,Retail & recreation,-6,-10,3,1,0,3,6,14,-10,-20,1,-1,3,5,-3,1,0,-1,1,6,5,3,1,3,-16,-4,-5,-19,-29,-27,-41,-43,-42,-78,-83,-87,-88,-88,-82,-83,-81,-82,-86
Argentina,AR,Grocery & pharmacy,-6,-8,3,0,-0,4,5,8,-16,-17,2,-0,2,5,3,4,5,3,4,8,7,4,5,8,-7,8,10,5,17,8,-11,-11,5,-40,-49,-61,-64,-64,-50,-52,-49,-48,-61
Argentina,AR,Parks,-14,-23,-2,10,-8,-9,4,18,26,1,5,-5,-8,-8,-11,-8,-6,-1,-9,-7,-10,-12,-9,-9,-24,-16,-17,-40,-44,-39,-54,-49,-55,-80,-85,-90,-88,-88,-82,-84,-82,-84,-89
Argentina,AR,Transit stations,-2,-2,9,8,7,9,7,5,-27,-28,9,8,8,6,1,7,8,8,10,12,8,3,13,14,-6,10,7,-19,-17,-17,-32,-35,-35,-72,-75,-81,-85,-85,-77,-77,-75,-75,-80
Argentina,AR,Workplace,-4,7,9,11,9,9,-1,-2,-54,-50,13,12,13,2,-2,16,16,18,18,18,3,-2,15,18,15,18,18,-4,-10,1,-12,-19,-24,-61,-57,-58,-79,-79,-68,-68,-67,-59,-57
Argentina,AR,Residential,2,1,-1,-2,-1,-1,0,0,6,7,-2,-0,-1,1,2,-1,-1,-2,-1,-2,1,2,-1,-2,0,-1,-1,7,9,6,11,12,13,29,28,27,32,31,28,30,32,29,27
